Step,MAP50,MAP50-95,MAUC,Fitness
1,0.03751,0.01024,0.63368,0.332868
2,0.07422,0.02875,0.76585,0.415488
3,0.06677,0.0209,0.7576,0.407598
4,0.09246,0.0396,0.78888,0.435384
5,0.14021,0.05748,0.84383,0.483747
6,0.13476,0.05854,0.8266,0.473058
7,0.16338,0.07028,0.83888,0.49182
8,0.20919,0.09966,0.86418,0.525732
9,0.21803,0.11074,0.86153,0.529051
10,0.24879,0.11691,0.8592,0.540807
11,0.27287,0.1187,0.87984,0.5609379999999999
12,0.28123,0.14017,0.87118,0.5620989999999999
13,0.26586,0.13757,0.88366,0.561931
14,0.2953,0.15411,0.88576,0.576411
15,0.29437,0.14883,0.88464,0.574951
16,0.30057,0.16143,0.89223,0.582486
17,0.32558,0.15998,0.89394,0.5932
18,0.30934,0.15458,0.89705,0.587719
19,0.31816,0.15871,0.89153,0.5889
20,0.35335,0.17623,0.89985,0.608888
21,0.36099,0.17457,0.90306,0.613383
22,0.33188,0.17928,0.89658,0.59897
23,0.34835,0.19093,0.90391,0.6103879999999999
24,0.36427,0.18097,0.90363,0.6156200000000001
25,0.3749,0.18421,0.91142,0.624091
26,0.39476,0.21091,0.9151,0.636545
27,0.39083,0.21486,0.90744,0.631538
28,0.38268,0.2185,0.91331,0.631577
29,0.40134,0.22815,0.92177,0.644236
30,0.38778,0.21388,0.89958,0.62629
31,0.36283,0.19624,0.91377,0.621641
32,0.41098,0.22718,0.91832,0.64627
33,0.3932,0.2206,0.91855,0.6386149999999999
34,0.41432,0.24153,0.92086,0.6503110000000001
35,0.39734,0.23102,0.92286,0.643468
36,0.37284,0.20723,0.91176,0.625739
37,0.39884,0.22452,0.92578,0.6448780000000001
38,0.38367,0.22486,0.91701,0.634459
39,0.38574,0.23099,0.91529,0.63504
40,0.39927,0.22397,0.9265,0.645355
41,0.43361,0.25287,0.9259,0.661681
42,0.41647,0.2374,0.92409,0.652373
43,0.42801,0.24726,0.92675,0.659305
44,0.41813,0.2352,0.91944,0.6504920000000001
45,0.4353,0.27186,0.92361,0.663111
46,0.40664,0.24366,0.92546,0.649752
47,0.43619,0.26601,0.92086,0.6615070000000001
48,0.42901,0.26162,0.91938,0.657456
49,0.44786,0.273,0.92105,0.666969
50,0.44215,0.25419,0.92238,0.663469
51,0.45268,0.2771,0.93333,0.675447
52,0.43858,0.25429,0.92839,0.6650560000000001
53,0.46848,0.28,0.93044,0.680612
54,0.44317,0.25833,0.92543,0.665816
55,0.44376,0.26809,0.92271,0.665668
56,0.45602,0.27136,0.92551,0.672299
57,0.4593,0.27216,0.92489,0.673381
58,0.47371,0.28386,0.9219,0.67882
59,0.45051,0.26456,0.93156,0.67244
60,0.4504,0.27088,0.92457,0.669533
61,0.45445,0.27313,0.926,0.672093
62,0.44639,0.26765,0.9221,0.666371
63,0.44771,0.26806,0.92504,0.66841
64,0.44849,0.26884,0.91222,0.66239
65,0.46654,0.27723,0.92802,0.678349
66,0.46808,0.28603,0.92661,0.6791400000000001
67,0.46442,0.27583,0.91234,0.669521
68,0.46113,0.28353,0.92934,0.677475
69,0.45047,0.28172,0.91706,0.66689
70,0.45196,0.27558,0.91234,0.664512
71,0.44647,0.26917,0.90114,0.656075
72,0.44812,0.27085,0.9157,0.664183
73,0.44639,0.27265,0.90436,0.6580010000000001
74,0.45012,0.27288,0.91634,0.665506
75,0.44552,0.26709,0.91105,0.6604420000000001
76,0.44763,0.27353,0.91726,0.665035
77,0.46577,0.27883,0.90237,0.665376
78,0.45495,0.2801,0.91017,0.6650750000000001
79,0.46299,0.28939,0.91676,0.672515
80,0.43926,0.27195,0.90893,0.6573640000000001
81,0.45415,0.27973,0.92325,0.671258
82,0.44957,0.27538,0.90826,0.661496
83,0.45247,0.27334,0.90743,0.662037
84,0.45897,0.28779,0.91273,0.668732
85,0.45596,0.28334,0.90839,0.664913
86,0.44504,0.27455,0.91501,0.662976
87,0.44559,0.27058,0.90564,0.658114
88,0.45086,0.2772,0.90749,0.661809
89,0.45569,0.2827,0.91056,0.665826
90,0.44237,0.26723,0.90947,0.658406
91,0.44237,0.26728,0.91233,0.659841
92,0.44007,0.26606,0.90876,0.657014
93,0.43654,0.26478,0.90226,0.6522239999999999
94,0.44138,0.27062,0.90235,0.6547890000000001
95,0.44572,0.27222,0.90155,0.656285
96,0.43182,0.2655,0.90461,0.651583
97,0.43623,0.26943,0.904,0.653435
98,0.43667,0.26909,0.9001,0.651627
99,0.44102,0.27113,0.9017,0.654371
100,0.4676214866893609,0.2795344054897278,0.9306426708390598,0.6803233706442471
